id_venda,data_venda,id_cliente,id_produto,quantidade,preco_unitario,desconto_aplicado
1,2024-01-15,C001,P001,2,299.90,0.10
2,2024-01-15,C002,P003,1,1899.00,0.05
3,2024-01-16,C001,P002,3,149.90,0.00
4,2024-01-16,C003,P005,1,89.90,0.15
5,2024-01-17,C004,P001,1,299.90,0.00
6,2024-01-17,C005,P004,2,599.00,0.20
7,2024-01-18,C002,P006,1,2499.00,0.10
8,2024-01-18,C006,P002,4,149.90,0.05
9,2024-01-19,C007,P007,2,79.90,0.00
10,2024-01-19,C003,P008,1,449.90,0.00
11,2024-01-20,C008,P001,1,299.90,0.25
12,2024-01-20,C009,P003,1,1899.00,0.00
13,2024-01-21,C010,P009,3,39.90,0.10
14,2024-01-21,C001,P010,1,199.90,0.00
15,2024-01-22,C011,P004,1,599.00,0.15
16,2024-01-22,C012,P002,2,149.90,0.00
17,2024-01-23,C013,P011,1,899.00,0.05
18,2024-01-23,C002,P012,2,129.90,0.00
19,2024-01-24,C014,P005,3,89.90,0.20
20,2024-01-24,C015,P013,1,349.90,0.00
21,2024-01-25,C001,P006,1,2499.00,0.15
22,2024-01-25,C016,P007,4,79.90,0.10
23,2024-01-26,C017,P014,2,199.90,0.00
24,2024-01-26,C003,P001,1,299.90,0.05
25,2024-01-27,C018,P015,1,1299.00,0.00
26,2024-01-27,C019,P002,3,149.90,0.00
27,2024-01-28,C020,P003,1,1899.00,0.10
28,2024-01-28,C002,P016,2,69.90,0.00
29,2024-01-29,C021,P017,1,449.90,0.20
30,2024-01-29,C022,P004,1,599.00,0.00
31,2024-01-30,C001,P018,2,249.90,0.05
32,2024-01-30,C023,P008,1,449.90,0.15
33,2024-01-31,C024,P019,3,99.90,0.00
34,2024-01-31,C025,P001,2,299.90,0.10
35,2024-02-01,C003,P020,1,799.90,0.00
36,2024-02-01,C026,P002,1,149.90,0.00
37,2024-02-02,C027,P006,1,2499.00,0.05
38,2024-02-02,C028,P007,2,79.90,0.00
39,2024-02-03,C002,P003,1,1899.00,0.20
40,2024-02-03,C029,P010,2,199.90,0.00
41,2024-02-04,C030,P011,1,899.00,0.10
42,2024-02-04,,P001,1,299.90,0.00
43,2024-02-05,C001,P012,3,129.90,0.15
44,2024-02-05,C002,,2,149.90,0.00
45,2024-02-06,C003,P005,1,89.90,0.00
46,2024-02-06,C003,P005,1,89.90,0.00
47,2024-02-07,C001,P001,2,299.90,0.10
48,2024-02-07,C001,P001,2,299.90,0.10
49,,C004,P002,1,149.90,0.00
50,2024-02-08,C005,P003,-1,1899.00,0.05
